# SCV canonical PEOPLE — sourced from https://scvhistory.wpengine.com/people/
# Add new names below. Lines starting with # are comments. Blank lines ignored.
# Format: "Last, First" or "Last, First [Suffix]" (SCV convention).
# Some entries are not individual people (e.g., "Artists (Fine Arts)",
# "Sheriffs of L.A. County") — treated as PERSON for now; retag later.

Fose, Robert Remy
Fosselman, Jill
Foster, Bill
Frago, Walter
Franklin, John (Salapatek)
Fraser, Alexander I.
Freeman, Kurt & Peggy
Fremont, John C.
Frew Family of Newhall
Frew, Tom III
Frew, Tom IV
Fuller, John
Fuller, Robert
Fustero Family/Ancestry
Fustero, Sinforosa
Gage, Henry Tifft
Gallion, Gwen
Garasi, Louis & Rita
Garcés, Francisco
Garcia, Dennis
Garcia, Samuel X.
Garcia, Ted
Gardella, Jim
Garner, James
Garrett, Sam
Garrison, Gabby
Garver, Katherine
Gaskill, Mike
Gates, Mark Jr.
Gavin, Thomas R.
Gelcich, Vincent
Gelig, Ian
Gemas, Terry Dale
Geno, Jeanne
Gibbs, Jason
Gibson, Hoot
Gifford, John & Sarah
Gillespie, Mike
Gillibrand, Phil
Gilmour, Mildred
Gladbach, E.G. "Jerry"
Gleason, George
Godey, Alexis
Godwin, Joseph Samuel
Goessel, Tracey
Goldman, Carl & Jeri
Goldstein, Barry
Gore, Robert
Gorman, Robert Hy
Gottardi Family of Piru
Gould, Matt
Grady, Lucretia del Valle
Gray, Linda
Gray, Ralph & Cheryl
Green, Richard
Griffith, D.W.
Guglielmino, Don
Gulley, James
Guthrie Family of Saugus Depot
Gutierrez, Jorge
Haisch, J.J.
Hale, Don
Hall, Steve
Hall, Tedmund D.
Hamblen, Stuart
Hampton, Butch
Hanigan, Daniel
Happy, Edith
Harland, Jack Lewis
Harmer, Alexander
Harrington, John P.
Harrington, Mike
Harris, Cynthia Neal
Harris, George W.
Harris, Jenks
Harris, Kamala
Harris, Norman
Hart, William S.
Hart, William S. Jr.
Harte, Duane & Pauline
Hartig, Anthea
Hartley, Gene G.
Haskell Family
Hauser, Laura
Hayes-Bautista, David E.
Hazama, Cheryl
Hedren, Tippi
Heidt, Janice
Heinz, Carl F.
Heizer, Robert F.
Hellrigel, Dianne Erskine
Hendrixson, Rita
Herrington, Rick
Hersholt, Jean
Hickson, Ernie
Hider, Jerry & JoAnne
Higgins, Paul
Hill, Paul
Hilton, Kiza
Hobbs, John
Hoeltje, David
Hoffman, Carolyn
Hoffman, Frank
Hoffner, James
Holmes, Ed
Homa, Max
Hon, Dan
Hooper, Ray Jr.
Hoover, Lou Henry
Hornaday, Ron Jr.
Horner, Hope
Houdeshell Family
Houghton, Lloyd
Howell, C. Thomas
Hume, Alexander
Hummel, Elfi
Huntsinger, Curtis R.
Huntsinger, Lena
Huntsinger, Robynn
Hyde, Katherine
Ingram, Pam
Innis, Dr. E.C.
Insolo, Jimmy
Jackson, Helen Hunt
Jacobs, Shelby
Jardine, Tip
Jarel, Mike
Jauregui, Andy
Jeffries, Herb
Jeffries, James J.
Jenkins, Michele
Jenkins, William W.
Jennings, Larry
Jensen, Bob
Jerry, Donald
Johansen, Craig
Johanson, Gary
Johnson, Gary (Speedway)
Johnson, Hiram
Johnson, John R.
Johnston, W. Ray
Jones, Brian (Blacksmith)
Jones, Buck
Kane, Bonnie
Kapp, Joe
Kaulbach, Ann
Keel, Howard
Kellar, Bob
Kellogg, Ruby Jenkins
Kelly, Peggy
Kelly, Raymond Gene
Kenaston, Lawrence Edward
Kennedy, Arthur C. (Judge)
Kennedy, Bill
Kent, Jim
Kersey, Vierling
Keysor Family
Keysor, Dick
Keysor, Jim
Kilpatrick, Virgil
Kimball, Don
Kimmey, Bill
Kingsburry, Charles
Kinnear, P.V.
Klajic, Jill
Kleeman, Frank & Charlotte
Kline, Alice
Kline, Kevin
Klinger, Henry Chester
Kness, Gary Dean
Knight, Steve
Knight, William J. "Pete"
Koontz, Dennis
Korenthal, Kevin
Koslo, Paul
Kotch, Michael
Kraszynski, Andrew
Kuhlman, Mike
Kupcha, Dorothy Lewis
Kuredjian, Jake
Lagasse, Carol & Frenchy
Lambourne, Linda
Lamkin, Fred
Lamkin, Ted
Landis, John
Laney, Gladys
Lang, John
Larinan Family of Pico
Larkin, Thomas O.
Larsen, Cole William
Lasuen, Fermin
Latta, Frank
Lau, Stanley
Lauffer, Marlee
Leaming, Christopher
Lebeck, Peter
LeBrun, Frank
LeBrun, Gus
Lechler Family of Piru
Lee, Robert C.
Lee, Tom
Lee, Wayne
Lefton, Abe
Lentini, Jim
Levine, Paul A.
Levison, Ruthann
Lewis, Robert
Lile, Don
Lilley, Jack
Lindenheim, Victor
Lindner, Don
Littlewarrior, Nadiya
Lizza, Patrick
Lockwood, Gary (Yurosek)
Lombardi Family
Lombardi, Julio
London, Julie
Longshore, Todd & Family
Lopez, Chico
Lopez, Francisco
Lopez, Jose Jesus
Lorenz, Shirley Rubel
Lowe, Thomas L.
